sample_id	sanger_sample_id	sanger_name	type	lane	tag	run	is_control	lopez	otto	pseudotime_state	pass_filter
PfAsex.675	3429STDY6428370	C402-B9_10C_SC_Pfal	SC	6	75	20086	FALSE	NA	NA	NA	FALSE
PfAsex.676	3429STDY6428371	C402-F2_10D_SC_Pfal	SC	6	76	20086	FALSE	lt	32h	1	TRUE
PfAsex.677	3429STDY6428372	C402-H3_10E_SC_Pfal	SC	6	77	20086	FALSE	lt	32h	1	TRUE
PfAsex.678	3429STDY6428373	C403-B3_10F_SC_Pfal	SC	6	78	20086	FALSE	NA	NA	NA	FALSE
PfAsex.679	3429STDY6428374	C403-C6_10G_SC_Pfal	SC	6	79	20086	FALSE	lt	40h	5	TRUE
PfAsex.680	3429STDY6428375	C403-D7_10H_SC_Pfal	SC	6	80	20086	FALSE	schizont	40h	5	TRUE
PfAsex.681	3429STDY6428376	C401-C5_11A_SC_Pfal	SC	6	81	20086	FALSE	lt	40h	NA	TRUE
PfAsex.682	3429STDY6428377	C401-F11_11B_SC_Pfal	SC	6	82	20086	FALSE	lt	32h	NA	TRUE
PfAsex.683	3429STDY6428378	C402-B11_11C_SC_Pfal	SC	6	83	20086	FALSE	lt	32h	1	TRUE
PfAsex.684	3429STDY6428379	C402-F3_11D_SC_Pfal	SC	6	84	20086	FALSE	lt	0h	NA	TRUE
PfAsex.685	3429STDY6428380	C402-H10_11E_100cell_Pfal	Hcell	6	85	20086	TRUE	NA	NA	NA	FALSE
PfAsex.686	3429STDY6428381	C403-B4_11F_SC_Pfal	SC	6	86	20086	FALSE	schizont	40h	4	TRUE
PfAsex.687	3429STDY6428382	C403-C7_11G_SC_Pfal	SC	6	87	20086	FALSE	lt	40h	5	TRUE
PfAsex.688	3429STDY6428383	C403-D8_11H_SC_Pfal	SC	6	88	20086	FALSE	schizont	40h	NA	TRUE
PfAsex.689	3429STDY6428384	C401-C6_12A_SC_Pfal	SC	6	89	20086	FALSE	lt	40h	3	TRUE
PfAsex.690	3429STDY6428385	C401-F12_12B_SC_Pfal	SC	6	90	20086	FALSE	lt	40h	1	TRUE
PfAsex.691	3429STDY6428386	C402-B12_12C_SC_Pfal	SC	6	91	20086	FALSE	lt	40h	4	TRUE
PfAsex.692	3429STDY6428387	C402-F4_12D_SC_Pfal	SC	6	92	20086	FALSE	lt	48h	3	TRUE
PfAsex.693	3429STDY6428388	C402-H11_12E_100cell_Pfal	Hcell	6	93	20086	TRUE	NA	NA	NA	FALSE
PfAsex.694	3429STDY6428389	C403-B5_12F_SC_Pfal	SC	6	94	20086	FALSE	schizont	40h	4	TRUE
PfAsex.695	3429STDY6428390	C403-C8_12G_SC_Pfal	SC	6	95	20086	FALSE	lt	40h	1	TRUE
PfAsex.696	3429STDY6428391	C403-D9_12H_SC_Pfal	SC	6	96	20086	FALSE	schizont	40h	4	TRUE
PfAsex.710	3429STDY6428401	C403-E12_2B_SC_Pfal	SC	7	10	20086	FALSE	lt	32h	1	TRUE
PfAsex.711	3429STDY6428402	C403-G10_2C_SC_Pfal	SC	7	11	20086	FALSE	lt	40h	1	TRUE
PfAsex.712	3429STDY6428403	C404-A11_2D_SC_Pfal	SC	7	12	20086	FALSE	lt	40h	3	TRUE
PfAsex.713	3429STDY6428404	C404-B11_2E_SC_Pfal	SC	7	13	20086	FALSE	lt	40h	2	TRUE
PfAsex.714	3429STDY6428405	C404-D2_2F_SC_Pfal	SC	7	14	20086	FALSE	lt	40h	4	TRUE
PfAsex.715	3429STDY6428406	C404-E6_2G_SC_Pfal	SC	7	15	20086	FALSE	schizont	40h	4	TRUE
PfAsex.717	3429STDY6428408	C403-D12_3A_SC_Pfal	SC	7	17	20086	FALSE	NA	NA	NA	FALSE
PfAsex.718	3429STDY6428409	C403-F2_3B_SC_Pfal	SC	7	18	20086	FALSE	lt	32h	1	TRUE
PfAsex.719	3429STDY6428410	C403-G11_3C_SC_Pfal	SC	7	19	20086	FALSE	NA	NA	NA	FALSE
PfAsex.720	3429STDY6428411	C404-A12_3D_SC_Pfal	SC	7	20	20086	FALSE	lt	40h	2	TRUE
PfAsex.721	3429STDY6428412	C404-B12_3E_SC_Pfal	SC	7	21	20086	FALSE	NA	NA	NA	FALSE
PfAsex.722	3429STDY6428413	C404-D3_3F_SC_Pfal	SC	7	22	20086	FALSE	lt	40h	4	TRUE
PfAsex.723	3429STDY6428414	C404-E7_3G_SC_Pfal	SC	7	23	20086	FALSE	lt	40h	3	TRUE
PfAsex.725	3429STDY6428416	C403-E1_4A_SC_Pfal	SC	7	25	20086	FALSE	lt	40h	3	TRUE
PfAsex.726	3429STDY6428417	C403-F3_4B_SC_Pfal	SC	7	26	20086	FALSE	lt	40h	1	TRUE
PfAsex.727	3429STDY6428418	C403-G12_4C_SC_Pfal	SC	7	27	20086	FALSE	lt	40h	3	TRUE
PfAsex.728	3429STDY6428419	C404-B1_4D_SC_Pfal	SC	7	28	20086	FALSE	lt	32h	1	TRUE
PfAsex.729	3429STDY6428420	C404-C1_4E_SC_Pfal	SC	7	29	20086	FALSE	NA	NA	NA	FALSE
PfAsex.730	3429STDY6428421	C404-D4_4F_SC_Pfal	SC	7	30	20086	FALSE	lt	40h	1	TRUE
PfAsex.731	3429STDY6428422	C404-E8_4G_SC_Pfal	SC	7	31	20086	FALSE	lt	40h	1	TRUE
PfAsex.733	3429STDY6428424	C403-E2_5A_SC_Pfal	SC	7	33	20086	FALSE	lt	32h	1	TRUE
PfAsex.734	3429STDY6428425	C403-F4_5B_SC_Pfal	SC	7	34	20086	FALSE	lt	32h	1	TRUE
PfAsex.735	3429STDY6428426	C403-H10_5C_100cell_Pfal	Hcell	7	35	20086	TRUE	NA	NA	NA	FALSE
PfAsex.736	3429STDY6428427	C404-B2_5D_SC_Pfal	SC	7	36	20086	FALSE	schizont	40h	4	TRUE
PfAsex.737	3429STDY6428428	C404-C2_5E_SC_Pfal	SC	7	37	20086	FALSE	lt	40h	1	TRUE
PfAsex.738	3429STDY6428429	C404-D7_5F_SC_Pfal	SC	7	38	20086	FALSE	lt	40h	4	TRUE
PfAsex.739	3429STDY6428430	C404-E9_5G_SC_Pfal	SC	7	39	20086	FALSE	lt	40h	4	TRUE
PfAsex.741	3429STDY6428432	C403-E3_6A_SC_Pfal	SC	7	41	20086	FALSE	lt	40h	4	TRUE
PfAsex.742	3429STDY6428433	C403-F6_6B_SC_Pfal	SC	7	42	20086	FALSE	lt	40h	1	TRUE
PfAsex.743	3429STDY6428434	C403-H11_6C_100cell_Pfal	Hcell	7	43	20086	TRUE	NA	NA	NA	FALSE
PfAsex.744	3429STDY6428435	C404-B3_6D_SC_Pfal	SC	7	44	20086	FALSE	lt	40h	3	TRUE
PfAsex.745	3429STDY6428436	C404-C3_6E_SC_Pfal	SC	7	45	20086	FALSE	schizont	40h	4	TRUE
PfAsex.746	3429STDY6428437	C404-D8_6F_SC_Pfal	SC	7	46	20086	FALSE	lt	40h	1	TRUE
PfAsex.747	3429STDY6428438	C404-F2_6G_SC_Pfal	SC	7	47	20086	FALSE	lt	40h	2	TRUE
PfAsex.749	3429STDY6428440	C403-E4_7A_SC_Pfal	SC	7	49	20086	FALSE	lt	40h	1	TRUE
PfAsex.750	3429STDY6428441	C403-F7_7B_SC_Pfal	SC	7	50	20086	FALSE	schizont	40h	4	TRUE
PfAsex.751	3429STDY6428442	C404-A2_7C_SC_Pfal	SC	7	51	20086	FALSE	lt	40h	3	TRUE
PfAsex.752	3429STDY6428443	C404-B4_7D_SC_Pfal	SC	7	52	20086	FALSE	schizont	40h	4	TRUE
PfAsex.753	3429STDY6428444	C404-C4_7E_SC_Pfal	SC	7	53	20086	FALSE	lt	40h	1	TRUE
PfAsex.754	3429STDY6428445	C404-D9_7F_SC_Pfal	SC	7	54	20086	FALSE	lt	32h	1	TRUE
PfAsex.755	3429STDY6428446	C404-F4_7G_SC_Pfal	SC	7	55	20086	FALSE	lt	32h	1	TRUE
PfAsex.757	3429STDY6428448	C403-E5_8A_SC_Pfal	SC	7	57	20086	FALSE	lt	40h	3	TRUE
PfAsex.758	3429STDY6428449	C403-F8_8B_SC_Pfal	SC	7	58	20086	FALSE	lt	40h	3	TRUE
PfAsex.759	3429STDY6428450	C404-A3_8C_SC_Pfal	SC	7	59	20086	FALSE	lt	40h	4	TRUE
PfAsex.760	3429STDY6428451	C404-B5_8D_SC_Pfal	SC	7	60	20086	FALSE	lt	40h	4	TRUE
PfAsex.761	3429STDY6428452	C404-C6_8E_SC_Pfal	SC	7	61	20086	FALSE	schizont	40h	4	TRUE
PfAsex.762	3429STDY6428453	C404-D10_8F_SC_Pfal	SC	7	62	20086	FALSE	lt	40h	4	TRUE
PfAsex.763	3429STDY6428454	C404-F5_8G_SC_Pfal	SC	7	63	20086	FALSE	lt	40h	3	TRUE
PfAsex.765	3429STDY6428456	C403-E6_9A_SC_Pfal	SC	7	65	20086	FALSE	lt	32h	1	TRUE
PfAsex.766	3429STDY6428457	C403-F10_9B_SC_Pfal	SC	7	66	20086	FALSE	lt	40h	1	TRUE
PfAsex.767	3429STDY6428458	C404-A4_9C_SC_Pfal	SC	7	67	20086	FALSE	schizont	40h	4	TRUE
PfAsex.768	3429STDY6428459	C404-B6_9D_SC_Pfal	SC	7	68	20086	FALSE	lt	40h	2	TRUE
PfAsex.769	3429STDY6428460	C404-C7_9E_SC_Pfal	SC	7	69	20086	FALSE	schizont	40h	4	TRUE
PfAsex.770	3429STDY6428461	C404-D12_9F_SC_Pfal	SC	7	70	20086	FALSE	schizont	40h	4	TRUE
PfAsex.771	3429STDY6428462	C404-F6_9G_SC_Pfal	SC	7	71	20086	FALSE	lt	48h	1	TRUE
PfAsex.773	3429STDY6428464	C403-E8_10A_SC_Pfal	SC	7	73	20086	FALSE	schizont	40h	4	TRUE
PfAsex.774	3429STDY6428465	C403-F11_10B_SC_Pfal	SC	7	74	20086	FALSE	lt	32h	1	TRUE
PfAsex.775	3429STDY6428466	C404-A5_10C_SC_Pfal	SC	7	75	20086	FALSE	NA	NA	NA	FALSE
PfAsex.776	3429STDY6428467	C404-B7_10D_SC_Pfal	SC	7	76	20086	FALSE	lt	40h	5	TRUE
PfAsex.777	3429STDY6428468	C404-C9_10E_SC_Pfal	SC	7	77	20086	FALSE	lt	40h	3	TRUE
PfAsex.778	3429STDY6428469	C404-E1_10F_SC_Pfal	SC	7	78	20086	FALSE	lt	40h	2	TRUE
PfAsex.779	3429STDY6428470	C404-F8_10G_SC_Pfal	SC	7	79	20086	FALSE	lt	32h	1	TRUE
PfAsex.781	3429STDY6428472	C403-E9_11A_SC_Pfal	SC	7	81	20086	FALSE	lt	32h	NA	TRUE
PfAsex.782	3429STDY6428473	C403-F12_11B_SC_Pfal	SC	7	82	20086	FALSE	schizont	40h	NA	TRUE
PfAsex.783	3429STDY6428474	C404-A7_11C_SC_Pfal	SC	7	83	20086	FALSE	lt	40h	4	TRUE
PfAsex.784	3429STDY6428475	C404-B8_11D_SC_Pfal	SC	7	84	20086	FALSE	lt	32h	NA	TRUE
PfAsex.785	3429STDY6428476	C404-C11_11E_SC_Pfal	SC	7	85	20086	FALSE	lt	40h	1	TRUE
PfAsex.786	3429STDY6428477	C404-E2_11F_SC_Pfal	SC	7	86	20086	FALSE	lt	40h	4	TRUE
PfAsex.787	3429STDY6428478	C404-F9_11G_SC_Pfal	SC	7	87	20086	FALSE	lt	40h	2	TRUE
PfAsex.789	3429STDY6428480	C403-E10_12A_SC_Pfal	SC	7	89	20086	FALSE	lt	32h	1	TRUE
PfAsex.790	3429STDY6428481	C403-G1_12B_SC_Pfal	SC	7	90	20086	FALSE	schizont	40h	4	TRUE
PfAsex.791	3429STDY6428482	C404-A9_12C_SC_Pfal	SC	7	91	20086	FALSE	lt	40h	2	TRUE
PfAsex.792	3429STDY6428483	C404-B9_12D_SC_Pfal	SC	7	92	20086	FALSE	schizont	40h	4	TRUE
PfAsex.793	3429STDY6428484	C404-C12_12E_SC_Pfal	SC	7	93	20086	FALSE	lt	40h	3	TRUE
PfAsex.794	3429STDY6428485	C404-E3_12F_SC_Pfal	SC	7	94	20086	FALSE	lt	40h	2	TRUE
PfAsex.795	3429STDY6428486	C404-F10_12G_SC_Pfal	SC	7	95	20086	FALSE	lt	40h	2	TRUE
