id	2HRS	4HRS	6HRS	8HRS	10HRS	12HRS	14HRS	16HRS	18HRS	20HRS	22HRS	24HRS
PBANKA_0618400	70.519512801392	71.0912254536416	70.4946557295551	77.4049217002237	79.2443450161571	79.7414864528958	72.4832214765101	67.1638081034054	72.2595078299776	58.5881183196619	45.4635843897589	57.1712652249565
PBANKA_0618500	47.1787223465076	41.1384538901317	23.5645041014169	14.4171016654238	9.14740243599304	24.4096445438727	33.9050459855829	18.9659458115834	24.6085011185682	11.2602535421327	27.7653492418593	19.7862291822023
PBANKA_0618600	98.4340044742729	98.7074322644792	98.2600049714144	99.2542878448919	98.3594332587621	99.2294307730549	98.9062888391747	98.4837186179468	97.6385781754909	96.1720109371116	85.5331841909023	89.7091722595078
PBANKA_0618700	29.9776286353468	16.1819537658464	12.2048222719364	14.1436738752175	18.717375093214	19.910514541387	15.4362416107383	13.2985334327616	14.4419587372607	14.4171016654238	9.64454387273179	28.7347750434999
PBANKA_0618800	60.6761123539647	60.5021128511061	50.6587124036788	42.5304499130002	56.1272682078051	49.1175739497887	44.7675863783246	56.3012677106637	64.7526721352225	74.3972160079543	82.9977628635347	87.1986080039771
PBANKA_0618900	76.087496892866	84.4891871737509	86.8008948545861	85.2846134725329	89.8086005468556	89.659458115834	88.1431767337808	81.5809097688292	77.1563509818543	66.0452398707432	56.5995525727069	49.6395724583644
PBANKA_0619000	22.6199353716132	21.8493661446682	18.8913745960726	25.1304996271439	30.2510564255531	48.595575441213	60.6761123539647	73.1295053442704	67.5366641809595	67.2880934625901	22.296793437733	22.4956500124285
PBANKA_0619100	98.9062888391747	99.0305741983594	99.0305741983594	99.1548595575441	98.8565746955009	98.7571464081531	98.0611483967189	96.818294804872	97.986577181208	95.6748695003728	97.8374347501864	98.0362913248819
PBANKA_0619400	93.9100173999503	95.3517275664927	94.1585881183197	94.7303007705692	96.2962962962963	95.5754412130251	95.202585135471	94.9788714889386	96.5448670146657	94.2331593338305	94.3077305493413	93.5371613223962
PBANKA_0619500	47.9990057171265	44.5687298036291	45.7370121799652	46.2590106885409	48.222719363659	42.5801640566741	41.9835943325876	36.0924683072334	40.8898831717624	33.6813323390505	44.2953020134228	26.9450658712404
PBANKA_0619600	67.7852348993289	61.9686800894855	59.6569724086503	54.0392741735024	58.8864031817052	55.779269202088	59.358687546607	67.8100919711658	67.2383793189162	58.165548098434	32.3639075316928	51.777280636341
PBANKA_0619700	29.2567735520756	28.8093462590107	16.6790952025851	25.7022122793935	33.4327616206811	47.2035794183445	58.9361173253791	76.907780263485	73.1046482724335	87.2234650758141	76.8580661198111	50.4598558289833
PBANKA_0619800	87.8448918717375	80.860054685558	79.691772309222	80.6114839671887	74.7700720855083	75.5406413124534	63.8081034054188	71.0415113099677	56.6492667163808	65.2498135719612	51.6032811334825	79.1946308724832
PBANKA_0619900	94.8794432015908	90.1317424807358	89.8831717623664	95.1777280636341	88.1680338056177	89.8831717623664	84.464330101914	79.3934874471787	74.6209296544867	79.9403430275914	86.2540392741735	83.6191896594581
PBANKA_0620000	89.9080288342033	90.9271687795178	89.3611732537907	91.9214516529953	90.1317424807358	88.0686055182699	88.864031817052	91.648023862789	91.2005965697241	92.3688789460601	96.02286850609	92.2943077305493
PBANKA_0620100	37.7578921203082	42.5801640566741	46.0352970420085	27.2184936614467	26.6467810091971	34.7501864280388	47.7504349987571	48.5707183693761	52.995277156351	60.5269699229431	66.5672383793189	75.6152125279642
PBANKA_0620200	81.7549092716878	83.5197613721104	86.1546109868258	92.0954511558538	88.864031817052	94.3574446930152	93.0648769574944	95.0285856326125	96.4702957991549	94.9291573452647	92.5180213770818	94.3077305493413
PBANKA_0620300	26.1247825006214	16.5548098434004	32.9604772557793	18.4439473030077	16.8033805617698	10.4896843151877	21.8742232165051	10.6388267462093	19.512801391996	33.2836191896595	68.1083768332091	70.2460850111857
PBANKA_0620400	54.8098434004474	68.4315187670892	70.6686552324136	77.2309221973651	66.7163808103405	77.0817797663435	85.6823266219239	77.1314939100174	78.4489187173751	74.0243599304002	84.1411881680338	76.6343524732787
PBANKA_0620500	69.9975142928163	59.8806860551827	49.1921451652995	70.2709420830226	56.2764106388267	67.735520755655	51.1558538404176	36.6144668158091	40.5170270942083	38.7521749937857	35.8936117325379	11.160825254785
PBANKA_0620700	17.0768083519761	16.728809346259	39.821029082774	17.3750932140194	34.650758140691	27.8647775292071	32.687049465573	59.2841163310962	42.6547352721849	50.6587124036788	55.0086999751429	73.9497887148894
