sample_id	ENA sample id	sanger_sample_id	sanger_name	type	run	lane	tag	type	lanetag	lasonder	is_control	pass_filter
PfG.467	ERS1544598	3429STDY6396219	10A_SC_Pfal_1E	SC	19715	4	67	PfG	467	Female	FALSE	TRUE
PfG.468	ERS1544599	3429STDY6396220	10B_SC_Pfal_1E	SC	19715	4	68	PfG	468	Female	FALSE	TRUE
PfG.469	ERS1544600	3429STDY6396221	10C_SC_Pfal_1E	SC	19715	4	69	PfG	469	Female	FALSE	TRUE
PfG.470	ERS1544601	3429STDY6396222	10D_SC_Pfal_1E	SC	19715	4	70	PfG	470	Female	FALSE	TRUE
PfG.471	ERS1544602	3429STDY6396223	10E_SC_Pfal_4E	SC	19715	4	71	PfG	471	Female	FALSE	TRUE
PfG.472	ERS1544603	3429STDY6396224	10F_SC_Pfal_4E	SC	19715	4	72	PfG	472	Female	FALSE	TRUE
PfG.473	ERS1544604	3429STDY6396225	10G_SC_Pfal_4E	SC	19715	4	73	PfG	473	Female	FALSE	TRUE
PfG.474	ERS1544605	3429STDY6396226	10H_SC_Pfal_4E	SC	19715	4	74	PfG	474	Female	FALSE	TRUE
PfG.475	ERS1544606	3429STDY6396227	11A_SC_Pfal_1E	SC	19715	4	75	PfG	475	Female	FALSE	TRUE
PfG.476	ERS1544607	3429STDY6396228	11B_SC_Pfal_1E	SC	19715	4	76	PfG	476	Female	FALSE	TRUE
PfG.477	ERS1544608	3429STDY6396229	11C_SC_Pfal_1E	SC	19715	4	77	PfG	477	Female	FALSE	TRUE
PfG.478	ERS1544609	3429STDY6396230	11D_SC_Pfal_1E	SC	19715	4	78	PfG	478	Female	FALSE	TRUE
PfG.479	ERS1544610	3429STDY6396231	11E_SC_Pfal_4E	SC	19715	4	79	PfG	479	Female	FALSE	TRUE
PfG.480	ERS1544611	3429STDY6396232	11F_SC_Pfal_4E	SC	19715	4	80	PfG	480	Female	FALSE	TRUE
PfG.481	ERS1544612	3429STDY6396233	11G_SC_Pfal_4E	SC	19715	4	81	PfG	481	Female	FALSE	TRUE
PfG.482	ERS1544613	3429STDY6396234	11H_SC_Pfal_4E	SC	19715	4	82	PfG	482	Female	FALSE	TRUE
PfG.510	ERS1544625	3429STDY6396246	2H_SC_Pfal_5E	SC	19715	5	10	PfG	510	Female	FALSE	TRUE
PfG.511	ERS1544626	3429STDY6396247	3A_SC_Pfal_2E	SC	19715	5	11	PfG	511	Female	FALSE	TRUE
PfG.512	ERS1544627	3429STDY6396248	3B_SC_Pfal_2E	SC	19715	5	12	PfG	512	Female	FALSE	TRUE
PfG.513	ERS1544628	3429STDY6396249	3C_SC_Pfal_2E	SC	19715	5	13	PfG	513	Female	FALSE	TRUE
PfG.514	ERS1544629	3429STDY6396250	3D_SC_Pfal_2E	SC	19715	5	14	NA	NA	NA	FALSE	FALSE
PfG.515	ERS1544630	3429STDY6396251	3E_SC_Pfal_5E	SC	19715	5	15	PfG	515	Female	FALSE	TRUE
PfG.516	ERS1544631	3429STDY6396252	3F_SC_Pfal_5E	SC	19715	5	16	NA	NA	NA	FALSE	FALSE
PfG.517	ERS1544632	3429STDY6396253	3G_SC_Pfal_5E	SC	19715	5	17	NA	NA	NA	FALSE	FALSE
PfG.519	ERS1544634	3429STDY6396255	4A_SC_Pfal_2E	SC	19715	5	19	PfG	519	Female	FALSE	TRUE
PfG.520	ERS1544635	3429STDY6396256	4B_SC_Pfal_2E	SC	19715	5	20	PfG	520	Female	FALSE	TRUE
PfG.521	ERS1544636	3429STDY6396257	4C_SC_Pfal_2E	SC	19715	5	21	PfG	521	Female	FALSE	TRUE
PfG.522	ERS1544637	3429STDY6396258	4D_SC_Pfal_2E	SC	19715	5	22	NA	NA	NA	FALSE	FALSE
PfG.523	ERS1544638	3429STDY6396259	4E_SC_Pfal_5E	SC	19715	5	23	PfG	523	Female	FALSE	TRUE
PfG.524	ERS1544639	3429STDY6396260	4F_SC_Pfal_5E	SC	19715	5	24	PfG	524	Female	FALSE	TRUE
PfG.525	ERS1544640	3429STDY6396261	4G_SC_Pfal_5E	SC	19715	5	25	PfG	525	Female	FALSE	TRUE
PfG.526	ERS1544641	3429STDY6396262	4H_SC_Pfal_5E	SC	19715	5	26	PfG	526	Female	FALSE	TRUE
PfG.527	ERS1544642	3429STDY6396263	5A_SC_Pfal_2E	SC	19715	5	27	PfG	527	Female	FALSE	TRUE
PfG.528	ERS1544643	3429STDY6396264	5B_SC_Pfal_2E	SC	19715	5	28	PfG	528	Female	FALSE	TRUE
PfG.529	ERS1544644	3429STDY6396265	5C_SC_Pfal_2E	SC	19715	5	29	PfG	529	Male	FALSE	TRUE
PfG.530	ERS1544645	3429STDY6396266	5D_SC_Pfal_2E	SC	19715	5	30	NA	NA	NA	FALSE	FALSE
PfG.531	ERS1544646	3429STDY6396267	5E_SC_Pfal_5E	SC	19715	5	31	PfG	531	Female	FALSE	TRUE
PfG.532	ERS1544647	3429STDY6396268	5F_SC_Pfal_5E	SC	19715	5	32	NA	NA	NA	FALSE	FALSE
PfG.533	ERS1544648	3429STDY6396269	5G_SC_Pfal_5E	SC	19715	5	33	PfG	533	Female	FALSE	TRUE
PfG.534	ERS1544649	3429STDY6396270	5H_SC_Pfal_5E	SC	19715	5	34	PfG	534	Female	FALSE	TRUE
