sample_id	ENA sample id	sanger_sample_id	sanger_name	type	run	lane	tag	is_control	sc3_k4	sc3_k3	sc3_sex_k3	hoo	otto	consensus	pass_filter
PbMB.205	ERS1544887	3429STDY6529111	1E_2_SC_Pber_Shz	SC	20625	8	205	FALSE	3	1	0	16HRS	schizont22h	schizont	TRUE
PbMB.206	ERS1544888	3429STDY6529112	1F_2_SC_Pber_Shz	SC	20625	8	206	FALSE	2	3	1	24HRS	gametocyteR3	female	TRUE
PbMB.207	ERS1544889	3429STDY6529113	1G_2_SC_Pber_Shz	SC	20625	8	207	FALSE	1	2	2	24HRS	gametocyteR3	male	TRUE
PbMB.208	ERS1544890	3429STDY6529114	1H_2_SC_Pber_Shz	SC	20625	8	208	FALSE	1	2	2	24HRS	gametocyteR3	male	TRUE
PbMB.218	ERS1544892	3429STDY6529116	2B_2_SC_Pber_Shz	SC	20625	8	218	FALSE	2	3	1	24HRS	gametocyteR3	female	TRUE
PbMB.219	ERS1544893	3429STDY6529117	2C_2_SC_Pber_Shz	SC	20625	8	219	FALSE	3	1	0	18HRS	schizont22h	schizont	TRUE
PbMB.220	ERS1544894	3429STDY6529118	2D_2_SC_Pber_Shz	SC	20625	8	220	FALSE	2	3	1	24HRS	gametocyteR3	female	TRUE
PbMB.221	ERS1544895	3429STDY6529119	2E_2_SC_Pber_Shz	SC	20625	8	221	FALSE	2	3	1	24HRS	gametocyteR3	female	TRUE
PbMB.222	ERS1544896	3429STDY6529120	2F_2_SC_Pber_Shz	SC	20625	8	222	FALSE	1	2	2	24HRS	gametocyteR3	male	TRUE
PbMB.223	ERS1544897	3429STDY6529121	2G_2_SC_Pber_Shz	SC	20625	8	223	FALSE	2	3	1	24HRS	gametocyteR3	female	TRUE
PbMB.224	ERS1544898	3429STDY6529122	2H_2_SC_Pber_Shz	SC	20625	8	224	FALSE	1	2	2	24HRS	gametocyteR3	male	TRUE
PbMB.233	ERS1544899	3429STDY6529123	3A_2_SC_Pber_Shz	SC	20625	8	233	FALSE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.234	ERS1544900	3429STDY6529124	3B_2_SC_Pber_Shz	SC	20625	8	234	FALSE	3	1	0	18HRS	schizont22h	schizont	TRUE
PbMB.235	ERS1544901	3429STDY6529125	3C_2_SC_Pber_Shz	SC	20625	8	235	FALSE	2	3	1	24HRS	gametocyteR3	female	TRUE
PbMB.236	ERS1544902	3429STDY6529126	3D_2_SC_Pber_Shz	SC	20625	8	236	FALSE	1	2	2	18HRS	gametocyteR	male	TRUE
PbMB.237	ERS1544903	3429STDY6529127	3E_2_SC_Pber_Shz	SC	20625	8	237	FALSE	1	2	2	24HRS	gametocyteR3	male	TRUE
PbMB.238	ERS1544904	3429STDY6529128	3F_2_SC_Pber_Shz	SC	20625	8	238	FALSE	1	2	2	24HRS	gametocyteR3	male	TRUE
PbMB.239	ERS1544905	3429STDY6529129	3G_2_SC_Pber_Shz	SC	20625	8	239	FALSE	1	2	2	24HRS	gametocyteR3	male	TRUE
PbMB.240	ERS1544906	3429STDY6529130	3H_2_SC_Pber_Shz	SC	20625	8	240	FALSE	1	2	2	24HRS	gametocyteR3	male	TRUE
PbMB.249	ERS1544907	3429STDY6529131	4A_2_SC_Pber_Shz	SC	20625	8	249	FALSE	2	3	1	24HRS	gametocyteR3	female	TRUE
PbMB.250	ERS1544908	3429STDY6529132	4B_2_SC_Pber_Shz	SC	20625	8	250	FALSE	3	1	0	18HRS	schizont22h	schizont	TRUE
PbMB.251	ERS1544909	3429STDY6529133	4C_2_SC_Pber_Shz	SC	20625	8	251	FALSE	1	2	2	22HRS	gametocyteR3	male	TRUE
PbMB.252	ERS1544910	3429STDY6529134	4D_2_SC_Pber_Shz	SC	20625	8	252	FALSE	4	1	0	14HRS	schizont22h	trophozoite	TRUE
PbMB.253	ERS1544911	3429STDY6529135	4E_2_SC_Pber_Shz	SC	20625	8	253	FALSE	2	3	1	24HRS	gametocyteR3	female	TRUE
PbMB.254	ERS1544912	3429STDY6529136	4F_2_SC_Pber_Shz	SC	20625	8	254	FALSE	3	1	0	18HRS	schizont22h	schizont	TRUE
PbMB.255	ERS1544913	3429STDY6529137	4G_2_SC_Pber_Shz	SC	20625	8	255	FALSE	4	1	0	14HRS	ringR	trophozoite	TRUE
PbMB.256	ERS1544914	3429STDY6529138	4H_2_SC_Pber_Shz	SC	20625	8	256	FALSE	3	1	0	18HRS	schizont22h	schizont	TRUE
PbMB.265	ERS1544915	3429STDY6529139	5A_2_SC_Pber_Shz	SC	20625	8	265	FALSE	3	1	0	18HRS	schizont22h	schizont	TRUE
PbMB.266	ERS1544916	3429STDY6529140	5B_2_SC_Pber_Shz	SC	20625	8	266	FALSE	2	3	1	24HRS	gametocyteR	female	TRUE
PbMB.267	ERS1544917	3429STDY6529141	5C_2_SC_Pber_Shz	SC	20625	8	267	FALSE	1	2	2	24HRS	gametocyteR3	male	TRUE
PbMB.268	ERS1544918	3429STDY6529142	5D_2_SC_Pber_Shz	SC	20625	8	268	FALSE	4	1	0	14HRS	schizont22h	trophozoite	TRUE
PbMB.269	ERS1544919	3429STDY6529143	5E_2_SC_Pber_Shz	SC	20625	8	269	FALSE	1	2	3	24HRS	gametocyteR	outlier	TRUE
PbMB.270	ERS1544920	3429STDY6529144	5F_2_SC_Pber_Shz	SC	20625	8	270	FALSE	2	3	1	24HRS	gametocyteR3	female	TRUE
PbMB.271	ERS1544921	3429STDY6529145	5G_2_SC_Pber_Shz	SC	20625	8	271	FALSE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.272	ERS1544922	3429STDY6529146	5H_2_SC_Pber_Shz	SC	20625	8	272	FALSE	1	2	2	24HRS	gametocyteR3	male	TRUE
PbMB.281	ERS1544923	3429STDY6529147	6A_2_SC_Pber_Shz	SC	20625	8	281	FALSE	3	1	0	18HRS	schizont22h	schizont	TRUE
PbMB.282	ERS1544924	3429STDY6529148	6B_2_SC_Pber_Shz	SC	20625	8	282	FALSE	3	1	0	16HRS	schizont22h	schizont	TRUE
PbMB.283	ERS1544925	3429STDY6529149	6C_2_SC_Pber_Shz	SC	20625	8	283	FALSE	2	3	1	24HRS	gametocyteR3	female	TRUE
PbMB.284	ERS1544926	3429STDY6529150	6D_2_SC_Pber_Shz	SC	20625	8	284	FALSE	2	3	1	24HRS	gametocyteR	female	TRUE
PbMB.285	ERS1544927	3429STDY6529151	6E_2_SC_Pber_Shz	SC	20625	8	285	FALSE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.286	ERS1544928	3429STDY6529152	6F_2_SC_Pber_Shz	SC	20625	8	286	FALSE	2	3	1	24HRS	gametocyteR	female	TRUE
PbMB.287	ERS1544929	3429STDY6529153	6G_2_SC_Pber_Shz	SC	20625	8	287	FALSE	1	2	2	24HRS	gametocyteR3	male	TRUE
PbMB.288	ERS1544930	3429STDY6529154	6H_2_SC_Pber_Shz	SC	20625	8	288	FALSE	2	3	1	24HRS	gametocyteR	female	TRUE
PbMB.297	ERS1544931	3429STDY6529155	7A_2_SC_Pber_Shz	SC	20625	8	297	FALSE	2	3	1	24HRS	gametocyteR	female	TRUE
PbMB.298	ERS1544932	3429STDY6529156	7B_2_SC_Pber_Shz	SC	20625	8	298	FALSE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.299	ERS1544933	3429STDY6529157	7C_2_SC_Pber_Shz	SC	20625	8	299	FALSE	3	1	0	18HRS	schizont22h	schizont	TRUE
PbMB.300	ERS1544934	3429STDY6529158	7D_2_SC_Pber_Shz	SC	20625	8	300	FALSE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.301	ERS1544935	3429STDY6529159	7E_2_SC_Pber_Shz	SC	20625	8	301	FALSE	3	1	0	18HRS	schizont22h	schizont	TRUE
PbMB.302	ERS1544936	3429STDY6529160	7F_2_SC_Pber_Shz	SC	20625	8	302	FALSE	2	3	1	24HRS	gametocyteR3	female	TRUE
PbMB.303	ERS1544937	3429STDY6529161	7G_2_SC_Pber_Shz	SC	20625	8	303	FALSE	4	1	0	14HRS	trophozoite16h	trophozoite	TRUE
PbMB.304	ERS1544938	3429STDY6529162	7H_2_SC_Pber_Shz	SC	20625	8	304	FALSE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.313	ERS1544939	3429STDY6529163	8A_2_SC_Pber_Shz	SC	20625	8	313	FALSE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.314	ERS1544940	3429STDY6529164	8B_2_SC_Pber_Shz	SC	20625	8	314	FALSE	1	2	3	24HRS	gametocyteR3	outlier	TRUE
PbMB.315	ERS1544941	3429STDY6529165	8C_2_SC_Pber_Shz	SC	20625	8	315	FALSE	4	1	0	10HRS	trophozoite16h	trophozoite	TRUE
PbMB.316	ERS1544942	3429STDY6529166	8D_2_SC_Pber_Shz	SC	20625	8	316	FALSE	4	1	0	16HRS	schizont22h	trophozoite	TRUE
PbMB.317	ERS1544943	3429STDY6529167	8E_2_SC_Pber_Shz	SC	20625	8	317	FALSE	1	2	2	24HRS	gametocyteR3	male	TRUE
PbMB.318	ERS1544944	3429STDY6529168	8F_2_SC_Pber_Shz	SC	20625	8	318	FALSE	4	1	0	8HRS	trophozoite16h	trophozoite	TRUE
PbMB.319	ERS1544945	3429STDY6529169	8G_2_SC_Pber_Shz	SC	20625	8	319	FALSE	4	1	0	14HRS	trophozoite16h	trophozoite	TRUE
PbMB.320	ERS1544946	3429STDY6529170	8H_2_SC_Pber_Shz	SC	20625	8	320	FALSE	2	3	1	24HRS	gametocyteR3	female	TRUE
PbMB.329	ERS1544947	3429STDY6529171	9A_2_SC_Pber_Shz	SC	20625	8	329	FALSE	2	3	1	24HRS	gametocyteR3	female	TRUE
PbMB.330	ERS1544948	3429STDY6529172	9B_2_SC_Pber_Shz	SC	20625	8	330	FALSE	2	3	1	24HRS	gametocyteR	female	TRUE
PbMB.331	ERS1544949	3429STDY6529173	9C_2_SC_Pber_Shz	SC	20625	8	331	FALSE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.332	ERS1544950	3429STDY6529174	9D_2_SC_Pber_Shz	SC	20625	8	332	FALSE	2	3	1	24HRS	gametocyteR3	female	TRUE
PbMB.333	ERS1544951	3429STDY6529175	9E_2_SC_Pber_Shz	SC	20625	8	333	FALSE	1	2	2	22HRS	gametocyteR	male	TRUE
PbMB.334	ERS1544952	3429STDY6529176	9F_2_SC_Pber_Shz	SC	20625	8	334	FALSE	3	1	0	18HRS	schizont22h	schizont	TRUE
PbMB.335	ERS1544953	3429STDY6529177	9G_2_SC_Pber_Shz	SC	20625	8	335	FALSE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.336	ERS1544954	3429STDY6529178	9H_2_SC_Pber_Shz	SC	20625	8	336	FALSE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.345	ERS1544955	3429STDY6529179	10A_2_SC_Pber_Shz	SC	20625	8	345	FALSE	2	3	1	24HRS	gametocyteR3	female	TRUE
PbMB.346	ERS1544956	3429STDY6529180	10B_2_SC_Pber_Shz	SC	20625	8	346	FALSE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.347	ERS1544957	3429STDY6529181	10C_2_SC_Pber_Shz	SC	20625	8	347	FALSE	2	3	1	24HRS	gametocyteR	female	TRUE
PbMB.348	ERS1544958	3429STDY6529182	10D_2_SC_Pber_Shz	SC	20625	8	348	FALSE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.349	ERS1544959	3429STDY6529183	10E_2_SC_Pber_Shz	SC	20625	8	349	FALSE	2	3	1	24HRS	gametocyteR3	female	TRUE
PbMB.350	ERS1544960	3429STDY6529184	10F_2_SC_Pber_Shz	SC	20625	8	350	FALSE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.351	ERS1544961	3429STDY6529185	10G_2_SC_Pber_Shz	SC	20625	8	351	FALSE	4	1	0	14HRS	gametocyteR3	trophozoite	TRUE
PbMB.361	ERS1544962	3429STDY6529186	11A_2_SC_Pber_Shz	SC	20625	8	361	FALSE	1	2	2	24HRS	gametocyteR3	male	TRUE
PbMB.362	ERS1544963	3429STDY6529187	11B_2_SC_Pber_Shz	SC	20625	8	362	FALSE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.363	ERS1544964	3429STDY6529188	11C_2_SC_Pber_Shz	SC	20625	8	363	FALSE	2	3	1	24HRS	gametocyteR3	female	TRUE
PbMB.364	ERS1544965	3429STDY6529189	11D_2_SC_Pber_Shz	SC	20625	8	364	FALSE	NA	NA	NA	NA	NA	NA	FALSE
